894745a43 Bump wrangler versions ([#6055](https://github.com/tldraw/pulls/6055)) (Steve Ruiz, 2025-05-16)
039cf65b2 ENG-3385 / Auto select text when Edit link menu opens ([#6072](https://github.com/tldraw/pulls/6072)) (budatl, 2025-05-14)
409fd05a1 a11y: add way to focus styling menu via kbd ([#5827](https://github.com/tldraw/pulls/5827)) (Mime Čuvalo, 2025-05-14)
b49b003c6 Associate users with file uploads. ([#6066](https://github.com/tldraw/pulls/6066)) (Mitja Bezenšek, 2025-05-13)
c0afd1f5a Remove download option from non-active files. ([#6065](https://github.com/tldraw/pulls/6065)) (David Sheldrick, 2025-05-13)
ad6c4f552 Only create a queue if not a dry run. ([#6064](https://github.com/tldraw/pulls/6064)) (Mitja Bezenšek, 2025-05-13)
324a049ab Fix dragging arrows breaking bindings ([#6050](https://github.com/tldraw/pulls/6050)) (Steve Ruiz, 2025-05-12)
4887e1f52 Fix queue previews ([#6056](https://github.com/tldraw/pulls/6056)) (Mitja Bezenšek, 2025-05-12)
4d06b94fe a11y: address icons and handles ([#6001](https://github.com/tldraw/pulls/6001)) (Mime Čuvalo, 2025-05-12)
66687519f a11y: be able to navigate in/out of container shapes ([#5973](https://github.com/tldraw/pulls/5973)) (Mime Čuvalo, 2025-05-12)
880761034 [automated] update i18n strings ([#6047](https://github.com/tldraw/pulls/6047)) (github-actions[bot], 2025-05-12)
6307ec7ba Simplify the cursor logic ([#6053](https://github.com/tldraw/pulls/6053)) (Mitja Bezenšek, 2025-05-12)
be59c37b0 fix feedback dialog ([#6049](https://github.com/tldraw/pulls/6049)) (David Sheldrick, 2025-05-12)
b29c8448a Make sure the file exists before uploading it to the bucket. ([#6027](https://github.com/tldraw/pulls/6027)) (Mitja Bezenšek, 2025-05-12)
c5d445347 don't call createId if id is overridden ([#6048](https://github.com/tldraw/pulls/6048)) (David Sheldrick, 2025-05-12)
bbc678569 refactor: rename canEditOnly to canEditonly ([#6019](https://github.com/tldraw/pulls/6019)) (Younsang Na, 2025-05-12)
e25033d63 Snap pasted text and embed content to the grid ([#6020](https://github.com/tldraw/pulls/6020)) (Trygve Aaberge, 2025-05-12)
62d76a255 Sidebar UI fixes ([#6046](https://github.com/tldraw/pulls/6046)) (Steve Ruiz, 2025-05-12)
1087f3a31 Fix super tight zoom button ([#6044](https://github.com/tldraw/pulls/6044)) (Steve Ruiz, 2025-05-11)
77b2db3d8 Redesign account / help menu ([#6008](https://github.com/tldraw/pulls/6008)) (Steve Ruiz, 2025-05-11)
bd7655d74 Make flattened shapes image use a transparent background ([#6043](https://github.com/tldraw/pulls/6043)) (Steve Ruiz, 2025-05-11)
178113318 Docs: Remove section on rich text exports ([#6021](https://github.com/tldraw/pulls/6021)) (Lu Wilson, 2025-05-11)
e13f266b0 Embed shape: add figma selection definition ([#6025](https://github.com/tldraw/pulls/6025)) (Steve Ruiz, 2025-05-11)
e0e586ba4 Remove the selection background ([#6042](https://github.com/tldraw/pulls/6042)) (Steve Ruiz, 2025-05-11)
c7e3df3a9 Prevent announcements during interactions ([#6041](https://github.com/tldraw/pulls/6041)) (Steve Ruiz, 2025-05-11)
300026514 Don't show the uploading progress bar if the upload failed already ([#6038](https://github.com/tldraw/pulls/6038)) (Mitja Bezenšek, 2025-05-09)
5186e76a1 Revert "Export menu improvements" ([#6037](https://github.com/tldraw/pulls/6037)) (David Sheldrick, 2025-05-09)
2928a5d81 Set retroactive to true for props migrators ([#6036](https://github.com/tldraw/pulls/6036)) (David Sheldrick, 2025-05-09)
42a329333 fix: no tasks found matching build-package ([#6035](https://github.com/tldraw/pulls/6035)) (Younsang Na, 2025-05-09)
ae38fb277 Fix disposing order ([#6030](https://github.com/tldraw/pulls/6030)) (Mitja Bezenšek, 2025-05-09)
